"gamma i of the SFR fission products (solid ONLY) calculated with EFR",,,,,,,,,,,,,,,,,,,,,
"PF","U238","U236","U235","U234","U233","th232","pu242","pu241","pu240","pu239","pu238","np238","np237","cm245","cm244","cm243","am243","am242m","am241",,
"Pd105",0.00002515848,0.000009036834,0.00001577995,0.000002885347,0.000007240769,0.0000006960346,0.00002568551,0.00002868523,0.00002833238,0.00002836702,0.00003153236,0.00001556505,0.00001164921,0.000004520399,0.000007502523,0.000005291279,0.00001316939,0.00001463904,0.00002727409,,
"Pd106",0.008667636,0.002601871,0.001967421,0.0003216126,0.001460391,0.00023822,0.01971912,0.02153563,0.01669485,0.01404083,0.01061066,0.006384053,0.005874033,0.01123212,0.01317018,0.0117473,0.0169449,0.01718079,0.01602426,,
"Pd107",0.009373939,0.002328944,0.001002982,0.0003979806,0.0008877498,0.0002939197,0.03249744,0.02995344,0.0204484,0.01532944,0.008693436,0.007885594,0.007186261,0.03634291,0.03413311,0.03548594,0.03634312,0.03339843,0.02415595,,
"Pd108",0.004395796,0.001340301,0.0005741088,0.0003584002,0.0006904152,0.0003499978,0.02942857,0.02650244,0.01732562,0.01290815,0.005815196,0.005099942,0.004380467,0.03612639,0.03284976,0.03281998,0.0347128,0.02957784,0.02281927,,
"Pd110",0.0005698354,0.0004098104,0.000207329,0.0002887561,0.0003971882,0.0003511322,0.01013373,0.006902974,0.005308035,0.004256892,0.001336037,0.001228017,0.0009525421,0.0262387,0.01986098,0.01728165,0.01753053,0.01275568,0.009473042,,
"Pm147",0.010116,0.00855546,0.008001937,0.00835247,0.006798775,0.01149708,0.009075454,0.008293979,0.007563858,0.007483921,0.008177927,0.009853235,0.009495672,0.01188156,0.01150888,0.01061112,0.009828644,0.009209853,0.008360716,,
"Pm148",0.0000155711,0.00001306073,0.00001234738,0.00001275154,0.00001050971,0.00001776279,0.00001396985,0.00001278996,0.00001163845,0.00001152159,0.00001261358,0.00001503384,0.00001448921,0.00001785779,0.00001743035,0.00001602047,0.0000149954,0.00001407005,0.00001287407,,
"Pm148m",0.00006783148,0.00005392251,0.00005462283,0.00005266027,0.00004452541,0.00007501394,0.00006086544,0.00005636488,0.00005058269,0.00005023542,0.00005560817,0.00006186018,0.00005964305,0.0000668553,0.00006830013,0.00006090775,0.00006167796,0.00005833248,0.00005614213,,
"Pm149",0.00003654705,0.00004960208,0.00001919148,0.00003656922,0.00001591886,0.00002663877,0.0000345522,0.00002728786,0.0000280977,0.00002789269,0.00002159127,0.00005349869,0.0000508318,0.0001181108,0.00009484137,0.000105495,0.00005981398,0.00005464496,0.00003465341,,
"Pm151",0.000009479973,0.0000161071,0.000004150473,0.000007760164,0.000003608515,0.000005114005,0.00001153879,0.000009079688,0.000009603549,0.000009281391,0.000005977874,0.00001430756,0.00001511186,0.00004174727,0.00002806049,0.0000330428,0.00002122376,0.00001853898,0.0000111746,,
"Pr141",0.03145407,0.02730597,0.03173517,0.03251747,0.03650777,0.03999311,0.02912096,0.02519517,0.02650409,0.02719956,0.02877011,0.02952644,0.02552048,0.02358418,0.02921353,0.02385529,0.02658493,0.02639394,0.02589588,,
"Pr143",0.0006046374,0.001142277,0.0005705263,0.001268515,0.0006916827,0.0008568039,0.0005977923,0.0005066918,0.0005833004,0.0005658605,0.0004808965,0.001027368,0.001127774,0.001830112,0.001494426,0.001793361,0.001012173,0.0009613817,0.0005097635,,
"Rb85",0.004309246,0.00786649,0.006317553,0.009041625,0.01016977,0.02229597,0.00153794,0.001884378,0.002091583,0.002996812,0.003234729,0.003011316,0.00456532,0.001041398,0.001176691,0.001279913,0.001246321,0.001457049,0.003006586,,
"Rb86",0.0000059851,0.00001066416,0.000008842159,0.00001235657,0.00001416252,0.00003065447,0.000002137228,0.000002633122,0.000002913495,0.000004199193,0.000004607769,0.000004084128,0.000006222496,0.000001377989,0.000001631478,0.000001903237,0.000001695714,0.000002007704,0.000004261235,,
"Rb87",0.009689955,0.01417041,0.01587087,0.02074467,0.02743144,0.04120401,0.003647347,0.004529651,0.005434403,0.00622008,0.00874399,0.007963833,0.01097488,0.002704585,0.003236415,0.003508715,0.00332189,0.003917925,0.007442337,,
